ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesTerritoryKey,SalesOrderNumber,OrderQuantity,UnitPrice,ProductName,standardcost,SubCategory,Category,CustomerName,Gender,Dates,Region,Country,SalesTerritoryGroup,SalesAmount,ProductionCost,Profit,ProfitMargin,Year,MonthName,Quarter,FinancialQuarter,YearMonth
358,2012-12-15,2012-12-27,2013-12-05,16161,9,SO50954,1,2049.10,"Mountain-200 Black, 38",1105.81,"Mountain Bikes",Bikes,"Ms. Jodi  Deng",F,2012-12-15,Australia,Australia,Pacific,2049.10,1105.81,943.29,46.03,2012,December,Q4,FQ3,2012-Dec
387,2012-10-04,2012-10-16,2015-12-30,25112,9,SO49956,1,1000.44,"Road-550-W Yellow, 44",605.6492,"Road Bikes",Bikes,"Ms. Suzanne E Zhu",F,2012-10-04,Australia,Australia,Pacific,1000.44,605.65,394.79,39.46,2012,October,Q4,FQ3,2012-Oct
352,2012-12-11,2012-12-23,2014-01-06,27576,1,SO50905,1,2071.42,"Mountain-200 Silver, 38",1117.8559,"Mountain Bikes",Bikes,"Ms. Caroline  Gonzales",F,2012-12-11,Northwest,"United States","North America",2071.42,1117.86,953.56,46.03,2012,December,Q4,FQ3,2012-Dec
370,2012-10-31,2012-11-12,2015-03-28,13925,4,SO50365,1,2443.35,"Road-250 Red, 52",1518.7864,"Road Bikes",Bikes,"Mr. Wyatt A Barnes",M,2012-10-31,Southwest,"United States","North America",2443.35,1518.79,924.56,37.84,2012,October,Q4,FQ3,2012-Oct
377,2012-11-19,2012-12-01,2014-09-21,13927,4,SO50556,1,2181.56,"Road-250 Black, 52",1320.6838,"Road Bikes",Bikes,"Mr. Gabriel M Gonzales",M,2012-11-19,Southwest,"United States","North America",2181.56,1320.68,860.88,39.46,2012,November,Q4,FQ3,2012-Nov
354,2012-10-02,2012-10-14,2016-01-18,15210,9,SO49944,1,2071.42,"Mountain-200 Silver, 42",1117.8559,"Mountain Bikes",Bikes,"Mr. Kurt  Raje",M,2012-10-02,Australia,Australia,Pacific,2071.42,1117.86,953.56,46.03,2012,October,Q4,FQ3,2012-Oct
356,2012-12-06,2012-12-18,2014-03-08,16163,9,SO50858,1,2071.42,"Mountain-200 Silver, 46",1117.8559,"Mountain Bikes",Bikes,"Mr. Willie B Chande",M,2012-12-06,Australia,Australia,Pacific,2071.42,1117.86,953.56,46.03,2012,December,Q4,FQ3,2012-Dec
370,2012-11-11,2012-11-23,2014-12-01,24362,9,SO50492,1,2443.35,"Road-250 Red, 52",1518.7864,"Road Bikes",Bikes,"Mr. Marc H Vazquez",M,2012-11-11,Australia,Australia,Pacific,2443.35,1518.79,924.56,37.84,2012,November,Q4,FQ3,2012-Nov
379,2012-11-17,2012-11-29,2014-10-16,24460,9,SO50535,1,2181.56,"Road-250 Black, 58",1320.6838,"Road Bikes",Bikes,"Mr. Willie  Nara",M,2012-11-17,Australia,Australia,Pacific,2181.56,1320.68,860.88,39.46,2012,November,Q4,FQ3,2012-Nov
369,2012-11-17,2012-11-29,2014-10-17,24462,9,SO50536,1,2443.35,"Road-250 Red, 48",1518.7864,"Road Bikes",Bikes,"Mr. Donald C Fernandez",M,2012-11-17,Australia,Australia,Pacific,2443.35,1518.79,924.56,37.84,2012,November,Q4,FQ3,2012-Nov
387,2012-10-04,2012-10-16,2015-12-31,25114,9,SO49957,1,1000.44,"Road-550-W Yellow, 44",605.6492,"Road Bikes",Bikes,"Mr. Donald M Sara",M,2012-10-04,Australia,Australia,Pacific,1000.44,605.65,394.79,39.46,2012,October,Q4,FQ3,2012-Oct
352,2012-09-08,2012-09-20,2016-08-11,14670,9,SO49651,1,2071.42,"Mountain-200 Silver, 38",1117.8559,"Mountain Bikes",Bikes,"Ms. Leslie  Gill",F,2012-09-08,Australia,Australia,Pacific,2071.42,1117.86,953.56,46.03,2012,September,Q3,FQ2,2012-Sep
337,2012-09-25,2012-10-07,2016-03-26,15562,1,SO49796,1,782.99,"Road-650 Black, 62",486.7066,"Road Bikes",Bikes,"Ms. Kaitlyn I James",F,2012-09-25,Northwest,"United States","North America",782.99,486.71,296.28,37.84,2012,September,Q3,FQ2,2012-Sep
343,2012-09-22,2012-10-04,2016-04-22,15570,4,SO49771,1,782.99,"Road-650 Black, 52",486.7066,"Road Bikes",Bikes,"Ms. Brianna L Powell",F,2012-09-22,Southwest,"United States","North America",782.99,486.71,296.28,37.84,2012,September,Q3,FQ2,2012-Sep
362,2012-12-18,2012-12-30,2013-10-28,16164,9,SO50988,1,2049.10,"Mountain-200 Black, 46",1105.81,"Mountain Bikes",Bikes,"Ms. Amy  Liang",F,2012-12-18,Australia,Australia,Pacific,2049.10,1105.81,943.29,46.03,2012,December,Q4,FQ3,2012-Dec
370,2012-11-04,2012-11-16,2015-02-14,24360,9,SO50423,1,2443.35,"Road-250 Red, 52",1518.7864,"Road Bikes",Bikes,"Ms. Carolyn C Diaz",F,2012-11-04,Australia,Australia,Pacific,2443.35,1518.79,924.56,37.84,2012,November,Q4,FQ3,2012-Nov
377,2012-11-14,2012-11-26,2014-11-06,24365,9,SO50510,1,2181.56,"Road-250 Black, 52",1320.6838,"Road Bikes",Bikes,"Ms. Mallory  Navarro",F,2012-11-14,Australia,Australia,Pacific,2181.56,1320.68,860.88,39.46,2012,November,Q4,FQ3,2012-Nov
371,2012-11-20,2012-12-02,2014-09-14,24372,9,SO50577,1,2181.56,"Road-250 Red, 58",1320.6838,"Road Bikes",Bikes,"Ms. Teresa L Jimenez",F,2012-11-20,Australia,Australia,Pacific,2181.56,1320.68,860.88,39.46,2012,November,Q4,FQ3,2012-Nov
379,2012-11-02,2012-11-14,2015-03-10,24457,9,SO50399,1,2181.56,"Road-250 Black, 58",1320.6838,"Road Bikes",Bikes,"Ms. Meghan A Alonso",F,2012-11-02,Australia,Australia,Pacific,2181.56,1320.68,860.88,39.46,2012,November,Q4,FQ3,2012-Nov
371,2012-11-18,2012-11-30,2014-10-07,24461,9,SO50548,1,2181.56,"Road-250 Red, 58",1320.6838,"Road Bikes",Bikes,"Ms. Ruth D Sai",F,2012-11-18,Australia,Australia,Pacific,2181.56,1320.68,860.88,39.46,2012,November,Q4,FQ3,2012-Nov
354,2012-11-30,2012-12-12,2014-05-05,27575,4,SO50788,1,2071.42,"Mountain-200 Silver, 42",1117.8559,"Mountain Bikes",Bikes,"Ms. Emma J Wilson",F,2012-11-30,Southwest,"United States","North America",2071.42,1117.86,953.56,46.03,2012,November,Q4,FQ3,2012-Nov
379,2012-09-11,2012-09-23,2016-07-16,13890,1,SO49681,1,2181.56,"Road-250 Black, 58",1320.6838,"Road Bikes",Bikes,"Ms. Jennifer W Carter",F,2012-09-11,Northwest,"United States","North America",2181.56,1320.68,860.88,39.46,2012,September,Q3,FQ2,2012-Sep
377,2012-10-29,2012-11-10,2015-04-25,26310,6,SO50343,1,2181.56,"Road-250 Black, 52",1320.6838,"Road Bikes",Bikes,"Ms. Kaitlyn J Garcia",F,2012-10-29,Canada,Canada,"North America",2181.56,1320.68,860.88,39.46,2012,October,Q4,FQ3,2012-Oct
362,2012-11-10,2012-11-22,2014-12-04,27269,1,SO50474,1,2049.10,"Mountain-200 Black, 46",1105.81,"Mountain Bikes",Bikes,"Ms. Victoria  Lee",F,2012-11-10,Northwest,"United States","North America",2049.10,1105.81,943.29,46.03,2012,November,Q4,FQ3,2012-Nov
358,2012-11-22,2012-12-04,2014-08-17,27276,4,SO50589,1,2049.10,"Mountain-200 Black, 38",1105.81,"Mountain Bikes",Bikes,"Ms. Faith A Alexander",F,2012-11-22,Southwest,"United States","North America",2049.10,1105.81,943.29,46.03,2012,November,Q4,FQ3,2012-Nov
362,2012-10-31,2012-11-12,2015-03-25,27292,1,SO50362,1,2049.10,"Mountain-200 Black, 46",1105.81,"Mountain Bikes",Bikes,"Ms. Julia  Evans",F,2012-10-31,Northwest,"United States","North America",2049.10,1105.81,943.29,46.03,2012,October,Q4,FQ3,2012-Oct
331,2012-09-23,2012-10-05,2016-04-15,27297,6,SO49776,1,782.99,"Road-650 Red, 52",486.7066,"Road Bikes",Bikes,"Ms. Ashley  Coleman",F,2012-09-23,Canada,Canada,"North America",782.99,486.71,296.28,37.84,2012,September,Q3,FQ2,2012-Sep
343,2012-09-22,2012-10-04,2016-04-21,27298,6,SO49770,1,782.99,"Road-650 Black, 52",486.7066,"Road Bikes",Bikes,"Ms. Jennifer L Coleman",F,2012-09-22,Canada,Canada,"North America",782.99,486.71,296.28,37.84,2012,September,Q3,FQ2,2012-Sep
356,2012-12-07,2012-12-19,2014-02-20,27552,4,SO50863,1,2071.42,"Mountain-200 Silver, 46",1117.8559,"Mountain Bikes",Bikes,"Ms. Shannon C Guo",F,2012-12-07,Southwest,"United States","North America",2071.42,1117.86,953.56,46.03,2012,December,Q4,FQ3,2012-Dec
358,2012-11-29,2012-12-11,2014-05-14,27553,4,SO50775,1,2049.10,"Mountain-200 Black, 38",1105.81,"Mountain Bikes",Bikes,"Ms. Julia M Sanders",F,2012-11-29,Southwest,"United States","North America",2049.10,1105.81,943.29,46.03,2012,November,Q4,FQ3,2012-Nov
371,2012-09-14,2012-09-26,2016-06-20,13889,1,SO49707,1,2181.56,"Road-250 Red, 58",1320.6838,"Road Bikes",Bikes,"Mr. Robert C Martin",M,2012-09-14,Northwest,"United States","North America",2181.56,1320.68,860.88,39.46,2012,September,Q3,FQ2,2012-Sep
377,2012-11-20,2012-12-02,2014-09-07,13939,4,SO50570,1,2181.56,"Road-250 Black, 52",1320.6838,"Road Bikes",Bikes,"Mr. Eduardo  Ramirez",M,2012-11-20,Southwest,"United States","North America",2181.56,1320.68,860.88,39.46,2012,November,Q4,FQ3,2012-Nov
354,2012-09-21,2012-10-03,2016-04-28,27094,4,SO49765,1,2071.42,"Mountain-200 Silver, 42",1117.8559,"Mountain Bikes",Bikes,"Mr. Sean  Kelly",M,2012-09-21,Southwest,"United States","North America",2071.42,1117.86,953.56,46.03,2012,September,Q3,FQ2,2012-Sep
356,2012-11-02,2012-11-14,2015-02-24,27258,4,SO50385,1,2071.42,"Mountain-200 Silver, 46",1117.8559,"Mountain Bikes",Bikes,"Mr. Christian E Flores",M,2012-11-02,Southwest,"United States","North America",2071.42,1117.86,953.56,46.03,2012,November,Q4,FQ3,2012-Nov
331,2012-09-17,2012-09-29,2016-05-20,27285,6,SO49742,1,782.99,"Road-650 Red, 52",486.7066,"Road Bikes",Bikes,"Mr. Zachary J Jones",M,2012-09-17,Canada,Canada,"North America",782.99,486.71,296.28,37.84,2012,September,Q3,FQ2,2012-Sep
352,2012-11-20,2012-12-02,2014-09-04,27286,3,SO50567,1,2071.42,"Mountain-200 Silver, 38",1117.8559,"Mountain Bikes",Bikes,"Mr. Shawn  Pal",M,2012-11-20,Central,"United States","North America",2071.42,1117.86,953.56,46.03,2012,November,Q4,FQ3,2012-Nov
371,2012-11-27,2012-12-09,2014-06-19,13938,4,SO50649,1,2181.56,"Road-250 Red, 58",1320.6838,"Road Bikes",Bikes,"Mr. Alejandro J Cai",M,2012-11-27,Southwest,"United States","North America",2181.56,1320.68,860.88,39.46,2012,November,Q4,FQ3,2012-Nov
362,2012-10-01,2012-10-13,2016-01-20,21595,6,SO49924,1,2049.10,"Mountain-200 Black, 46",1105.81,"Mountain Bikes",Bikes,"Mr. Juan H Ward",M,2012-10-01,Canada,Canada,"North America",2049.10,1105.81,943.29,46.03,2012,October,Q4,FQ3,2012-Oct
358,2012-11-20,2012-12-02,2014-09-03,21621,6,SO50566,1,2049.10,"Mountain-200 Black, 38",1105.81,"Mountain Bikes",Bikes,"Mr. Jordan  Parker",M,2012-11-20,Canada,Canada,"North America",2049.10,1105.81,943.29,46.03,2012,November,Q4,FQ3,2012-Nov
362,2012-11-03,2012-11-15,2015-02-17,21622,6,SO50402,1,2049.10,"Mountain-200 Black, 46",1105.81,"Mountain Bikes",Bikes,"Mr. Ethan R Winston",M,2012-11-03,Canada,Canada,"North America",2049.10,1105.81,943.29,46.03,2012,November,Q4,FQ3,2012-Nov
356,2012-09-22,2012-10-04,2016-04-20,27091,1,SO49769,1,2071.42,"Mountain-200 Silver, 46",1117.8559,"Mountain Bikes",Bikes,"Mr. Miguel A Martin",M,2012-09-22,Northwest,"United States","North America",2071.42,1117.86,953.56,46.03,2012,September,Q3,FQ2,2012-Sep
360,2012-09-14,2012-09-26,2016-06-25,27095,4,SO49712,1,2049.10,"Mountain-200 Black, 42",1105.81,"Mountain Bikes",Bikes,"Mr. Spencer  Flores",M,2012-09-14,Southwest,"United States","North America",2049.10,1105.81,943.29,46.03,2012,September,Q3,FQ2,2012-Sep
358,2012-10-31,2012-11-12,2015-03-26,27263,4,SO50363,1,2049.10,"Mountain-200 Black, 38",1105.81,"Mountain Bikes",Bikes,"Mr. Aaron M Kumar",M,2012-10-31,Southwest,"United States","North America",2049.10,1105.81,943.29,46.03,2012,October,Q4,FQ3,2012-Oct
339,2012-09-20,2012-10-02,2016-05-03,27270,6,SO49761,1,782.99,"Road-650 Black, 44",486.7066,"Road Bikes",Bikes,"Mr. Connor J Collins",M,2012-09-20,Canada,Canada,"North America",782.99,486.71,296.28,37.84,2012,September,Q3,FQ2,2012-Sep
360,2012-11-08,2012-11-20,2014-12-24,27272,1,SO50451,1,2049.10,"Mountain-200 Black, 42",1105.81,"Mountain Bikes",Bikes,"Mr. Elijah  Chen",M,2012-11-08,Northwest,"United States","North America",2049.10,1105.81,943.29,46.03,2012,November,Q4,FQ3,2012-Nov
362,2012-11-27,2012-12-09,2014-06-14,27275,4,SO50644,1,2049.10,"Mountain-200 Black, 46",1105.81,"Mountain Bikes",Bikes,"Mr. Aidan  Powell",M,2012-11-27,Southwest,"United States","North America",2049.10,1105.81,943.29,46.03,2012,November,Q4,FQ3,2012-Nov
354,2012-11-25,2012-12-07,2014-07-15,27277,4,SO50619,1,2071.42,"Mountain-200 Silver, 42",1117.8559,"Mountain Bikes",Bikes,"Mr. Jeremy C Wood",M,2012-11-25,Southwest,"United States","North America",2071.42,1117.86,953.56,46.03,2012,November,Q4,FQ3,2012-Nov
354,2012-10-28,2012-11-09,2015-05-02,21620,6,SO50326,1,2071.42,"Mountain-200 Silver, 42",1117.8559,"Mountain Bikes",Bikes,"Ms. Mariah  Brooks",F,2012-10-28,Canada,Canada,"North America",2071.42,1117.86,953.56,46.03,2012,October,Q4,FQ3,2012-Oct
354,2012-12-03,2012-12-15,2014-04-08,21658,6,SO50815,1,2071.42,"Mountain-200 Silver, 42",1117.8559,"Mountain Bikes",Bikes,"Ms. Jocelyn A Powell",F,2012-12-03,Canada,Canada,"North America",2071.42,1117.86,953.56,46.03,2012,December,Q4,FQ3,2012-Dec
362,2012-09-24,2012-10-06,2016-04-08,27090,4,SO49786,1,2049.10,"Mountain-200 Black, 46",1105.81,"Mountain Bikes",Bikes,"Ms. Elizabeth H Brown",F,2012-09-24,Southwest,"United States","North America",2049.10,1105.81,943.29,46.03,2012,September,Q3,FQ2,2012-Sep
354,2012-11-23,2012-12-05,2014-08-06,27271,1,SO50598,1,2071.42,"Mountain-200 Silver, 42",1117.8559,"Mountain Bikes",Bikes,"Ms. Anna S Reed",F,2012-11-23,Northwest,"United States","North America",2071.42,1117.86,953.56,46.03,2012,November,Q4,FQ3,2012-Nov
385,2012-10-12,2012-10-24,2015-10-09,14398,1,SO50043,1,1000.44,"Road-550-W Yellow, 42",605.6492,"Road Bikes",Bikes,"Mr. James  Anderson",M,2012-10-12,Northwest,"United States","North America",1000.44,605.65,394.79,39.46,2012,October,Q4,FQ3,2012-Oct
383,2012-10-06,2012-10-18,2015-12-09,14406,4,SO49982,1,1000.44,"Road-550-W Yellow, 40",605.6492,"Road Bikes",Bikes,"Ms. Carrie M Schmidt",F,2012-10-06,Southwest,"United States","North America",1000.44,605.65,394.79,39.46,2012,October,Q4,FQ3,2012-Oct
389,2012-10-22,2012-11-03,2015-07-07,14413,4,SO50138,1,1000.44,"Road-550-W Yellow, 48",605.6492,"Road Bikes",Bikes,"Ms. Rachel K Patterson",F,2012-10-22,Southwest,"United States","North America",1000.44,605.65,394.79,39.46,2012,October,Q4,FQ3,2012-Oct
381,2012-10-14,2012-10-26,2015-09-14,14414,4,SO50058,1,1000.44,"Road-550-W Yellow, 38",605.6492,"Road Bikes",Bikes,"Ms. Rachel  Wilson",F,2012-10-14,Southwest,"United States","North America",1000.44,605.65,394.79,39.46,2012,October,Q4,FQ3,2012-Oct
385,2012-10-14,2012-10-26,2015-09-15,14415,4,SO50059,1,1000.44,"Road-550-W Yellow, 42",605.6492,"Road Bikes",Bikes,"Mr. William C Davis",M,2012-10-14,Southwest,"United States","North America",1000.44,605.65,394.79,39.46,2012,October,Q4,FQ3,2012-Oct
337,2012-09-08,2012-09-20,2016-08-18,15763,1,SO49658,1,782.99,"Road-650 Black, 62",486.7066,"Road Bikes",Bikes,"Mr. Xavier F Young",M,2012-09-08,Northwest,"United States","North America",782.99,486.71,296.28,37.84,2012,September,Q3,FQ2,2012-Sep
329,2012-11-02,2012-11-14,2015-03-03,15902,1,SO50392,1,782.99,"Road-650 Red, 48",486.7066,"Road Bikes",Bikes,"Mr. Robert J Diaz",M,2012-11-02,Northwest,"United States","North America",782.99,486.71,296.28,37.84,2012,November,Q4,FQ3,2012-Nov
327,2012-11-27,2012-12-09,2014-06-22,15903,4,SO50652,1,782.99,"Road-650 Red, 44",486.7066,"Road Bikes",Bikes,"Ms. Abigail  Barnes",F,2012-11-27,Southwest,"United States","North America",782.99,486.71,296.28,37.84,2012,November,Q4,FQ3,2012-Nov
341,2012-11-15,2012-11-27,2014-11-01,15904,4,SO50514,1,782.99,"Road-650 Black, 48",486.7066,"Road Bikes",Bikes,"Ms. Janice  Bennett",F,2012-11-15,Southwest,"United States","North America",782.99,486.71,296.28,37.84,2012,November,Q4,FQ3,2012-Nov
333,2012-11-26,2012-12-08,2014-07-04,15908,4,SO50632,1,782.99,"Road-650 Black, 58",486.7066,"Road Bikes",Bikes,"Mr. David M Wilson",M,2012-11-26,Southwest,"United States","North America",782.99,486.71,296.28,37.84,2012,November,Q4,FQ3,2012-Nov
327,2012-11-21,2012-12-03,2014-08-26,15909,4,SO50581,1,782.99,"Road-650 Red, 44",486.7066,"Road Bikes",Bikes,"Ms. Cassidy W Ross",F,2012-11-21,Southwest,"United States","North America",782.99,486.71,296.28,37.84,2012,November,Q4,FQ3,2012-Nov
362,2012-11-23,2012-12-05,2014-08-04,27416,1,SO50596,1,2049.10,"Mountain-200 Black, 46",1105.81,"Mountain Bikes",Bikes,"Mr. Jeremiah  Morris",M,2012-11-23,Northwest,"United States","North America",2049.10,1105.81,943.29,46.03,2012,November,Q4,FQ3,2012-Nov
352,2012-11-15,2012-11-27,2014-11-04,27423,4,SO50517,1,2071.42,"Mountain-200 Silver, 38",1117.8559,"Mountain Bikes",Bikes,"Mr. Dakota  Butler",M,2012-11-15,Southwest,"United States","North America",2071.42,1117.86,953.56,46.03,2012,November,Q4,FQ3,2012-Nov
360,2012-11-20,2012-12-02,2014-09-01,27424,4,SO50564,1,2049.10,"Mountain-200 Black, 42",1105.81,"Mountain Bikes",Bikes,"Mr. Luis P Mitchell",M,2012-11-20,Southwest,"United States","North America",2049.10,1105.81,943.29,46.03,2012,November,Q4,FQ3,2012-Nov
360,2012-10-29,2012-11-10,2015-04-24,27425,4,SO50342,1,2049.10,"Mountain-200 Black, 42",1105.81,"Mountain Bikes",Bikes,"Mr. Steven  Morris",M,2012-10-29,Southwest,"United States","North America",2049.10,1105.81,943.29,46.03,2012,October,Q4,FQ3,2012-Oct
360,2012-11-25,2012-12-07,2014-07-14,27431,1,SO50618,1,2049.10,"Mountain-200 Black, 42",1105.81,"Mountain Bikes",Bikes,"Mr. Ethan F Jenkins",M,2012-11-25,Northwest,"United States","North America",2049.10,1105.81,943.29,46.03,2012,November,Q4,FQ3,2012-Nov
337,2012-11-02,2012-11-14,2015-03-02,15901,1,SO50391,1,782.99,"Road-650 Black, 62",486.7066,"Road Bikes",Bikes,"Ms. Taylor D Bryant",F,2012-11-02,Northwest,"United States","North America",782.99,486.71,296.28,37.84,2012,November,Q4,FQ3,2012-Nov
360,2012-11-05,2012-11-17,2015-01-24,27421,2,SO50425,1,2049.10,"Mountain-200 Black, 42",1105.81,"Mountain Bikes",Bikes,"Ms. Mindy  Chander",F,2012-11-05,Northeast,"United States","North America",2049.10,1105.81,943.29,46.03,2012,November,Q4,FQ3,2012-Nov
383,2012-10-02,2012-10-14,2016-01-17,14417,1,SO49943,1,1000.44,"Road-550-W Yellow, 40",605.6492,"Road Bikes",Bikes,"Mr. Ernest H Lu",M,2012-10-02,Northwest,"United States","North America",1000.44,605.65,394.79,39.46,2012,October,Q4,FQ3,2012-Oct
333,2012-12-04,2012-12-16,2014-04-01,27613,6,SO50830,1,782.99,"Road-650 Black, 58",486.7066,"Road Bikes",Bikes,"Ms. Alexia  Washington",F,2012-12-04,Canada,Canada,"North America",782.99,486.71,296.28,37.84,2012,December,Q4,FQ3,2012-Dec
383,2012-10-01,2012-10-13,2016-01-28,14418,1,SO49932,1,1000.44,"Road-550-W Yellow, 40",605.6492,"Road Bikes",Bikes,"Ms. Rebecca W Young",F,2012-10-01,Northwest,"United States","North America",1000.44,605.65,394.79,39.46,2012,October,Q4,FQ3,2012-Oct
358,2012-11-04,2012-11-16,2015-02-08,11417,7,SO50417,1,2049.10,"Mountain-200 Black, 38",1105.81,"Mountain Bikes",Bikes,"Ms. Lacey C Zheng",F,2012-11-04,France,France,Europe,2049.10,1105.81,943.29,46.03,2012,November,Q4,FQ3,2012-Nov
375,2012-09-14,2012-09-26,2016-06-15,15687,7,SO49702,1,2181.56,"Road-250 Black, 48",1320.6838,"Road Bikes",Bikes,"Mr. Jay  Suri",M,2012-09-14,France,France,Europe,2181.56,1320.68,860.88,39.46,2012,September,Q3,FQ2,2012-Sep
379,2012-09-08,2012-09-20,2016-08-06,15688,7,SO49646,1,2181.56,"Road-250 Black, 58",1320.6838,"Road Bikes",Bikes,"Mr. Chase J Gray",M,2012-09-08,France,France,Europe,2181.56,1320.68,860.88,39.46,2012,September,Q3,FQ2,2012-Sep
335,2012-12-01,2012-12-13,2014-04-30,15989,4,SO50801,1,782.99,"Road-650 Black, 60",486.7066,"Road Bikes",Bikes,"Ms. Savannah  Campbell",F,2012-12-01,Southwest,"United States","North America",782.99,486.71,296.28,37.84,2012,December,Q4,FQ3,2012-Dec
373,2012-09-10,2012-09-22,2016-07-20,17199,8,SO49671,1,2181.56,"Road-250 Black, 44",1320.6838,"Road Bikes",Bikes,"Mr. Dennis R Zhou",M,2012-09-10,Germany,Germany,Europe,2181.56,1320.68,860.88,39.46,2012,September,Q3,FQ2,2012-Sep
387,2012-10-03,2012-10-15,2016-01-08,14411,1,SO49949,1,1000.44,"Road-550-W Yellow, 44",605.6492,"Road Bikes",Bikes,"Ms. Ashley S Johnson",F,2012-10-03,Northwest,"United States","North America",1000.44,605.65,394.79,39.46,2012,October,Q4,FQ3,2012-Oct
